#Recording frequency [Hz],20
#Number of samples,7255
#SCU1.ForceA.Engineering value [kN],SCU1.Encoder.Engineering value [mm]
-0.0029598176,-0.00057411194
0.0041734874,8.96E-05
0.0069601834,-0.0006980896
-0.0058878362,-0.00043487549
-0.0049768984,-0.0012512207
0.0061663687,0.0012722015
-0.0025949776,-0.0010643005
-0.0051118433,-0.00064659119
-0.0039925873,5.91E-05
-1.24E-05,-0.0016937256
-0.0087873042,0.00026130676
-0.0088966787,6.87E-05
-0.00092765689,-0.00069999695
-0.0078659356,-0.0010299683
-0.0023747385,0.00036239624
0.001629442,-0.00057411194
0.0059793293,-0.00032806396
0.0026535094,-0.00087738037
0.0087964833,-0.00045776367
-0.0048955977,0.00026893616
-0.0043951571,-0.00013160706
-0.0013220012,-0.0008392334
0.00087031722,-0.0012493134
0.0053746402,-0.00075912476
0.0077365339,0.00036430359
0.00046500564,-0.00045394897
0.0048562586,0.00020599365
-0.012309939,-0.00069999695
0.0011747777,-0.0011768341
-0.0094541609,-0.0010814667
0.012674123,-3.81E-06
0.001373142,-0.0010375977
0.010933131,-0.0005531311
-0.0024274886,-0.00071334839
0.0016150177,-0.0017261505
-0.0051531494,-0.00026512146
0.0066234171,-0.00024986267
-0.0021850169,-0.00038909912
0.003356725,0.00018310547
-0.002828151,7.63E-05
0.0027841628,0.00027084351
-0.0025341809,-0.00022697449
0.0021942556,2.67E-05
-0.0084907115,-0.0010528564
0.0051033199,-0.0001449585
-0.0066834986,0.00037384033
-0.0015077889,-0.00032615662
-0.0049962103,-0.00054931641
0.0082721412,-0.00046920776
-0.0064019859,-0.0011405945
0.018090218,-0.0013122559
-0.0038764775,-0.0011520386
0.010466903,0.00099945068
-0.0043568313,-0.0011043549
0.0051638782,-0.00066566467
-0.0059491694,-0.00037574768
0.010993928,-0.0011844635
-0.0038140714,-0.00016784668
0.0013633668,-0.0011920929
-0.0048796833,0.0003528595
0.0083974898,-0.0010871887
0.0036968291,-0.00070381165
0.019180566,-0.0014019012
-0.010835379,-9.16E-05
0.00024810433,-0.00053024292
-0.012709349,-0.00075531006
0.00022479892,0.00016784668
-0.011791378,-0.00030136108
0.0068752468,-0.00018119812
-0.001052171,-0.00058555603
0.006639868,-0.00076675415
-0.0063219965,-0.00060081482
0.012224883,-0.001701355
-0.0031580031,-0.00022506714
0.014485806,1.72E-05
-0.0034684837,-0.00040817261
0.0072639287,0.00068855286
-0.0068540275,0.00082206726
0.0025902689,0.00027275085
-0.0073880255,9.54E-05
0.012071997,-0.00037765503
-0.012773603,-0.00092315674
0.011330277,-0.00087738037
-0.0010602176,-0.00019073486
0.004627794,-0.00053596497
-0.016704172,-0.0010929108
0.010411531,0.00041389465
-0.0062707961,-0.00061988831
0.0051849782,-0.0014266968
-0.018680245,-0.00066184998
0.0039354265,-0.00023078918
-0.0047521293,-0.0014247894
0.0094353855,0.0004119873
-0.0036394298,-0.00072669983
0.011187106,-0.0010700226
-0.0032802522,-0.00081634521
0.0040254295,-0.00034332275
-0.0021205246,-0.00091552734
0.0021697581,-0.00082397461
-0.002999872,-0.0002784729
-0.00017127395,-0.00032424927
-0.0030111969,0.0007019043
-0.0080389678,-0.00046730042
5.13E-05,-0.0018234253
0.0019517243,0.00091171265
-0.0050611198,-4.20E-05
0.0016565025,0.00025177002
-0.003074199,-0.0002155304
0.002638191,0.00045585632
-0.0044866502,-0.00041389465
0.0040096343,0.00018310547
-0.004196316,-0.00093460083
0.0017443001,-0.00023841858
0.0046393573,0.00015449524
0.0052949488,0.00039100647
-0.0017841756,0.00036621094
0.0016145408,0.00032234192
-0.012782305,-0.0010910034
0.00378111,0.00033378601
0.001381129,-0.0002155304
0.005874604,-0.0012798309
-0.0027807057,0.0006942749
0.00074842572,-0.0011520386
0.00449875,-0.0013122559
-0.00012794137,0.0001449585
0.00026002526,-0.00094604492
-0.0065200031,-0.0038299561
0.0021254122,-0.005739212
-0.0012375414,-0.010360718
0.0009316504,-0.015785217
-0.00019773841,-0.021299362
-0.0059353411,-0.026111603
-0.00036767125,-0.031476974
-0.0027185977,-0.037639618
-0.0017782152,-0.041561127
-0.0032431781,-0.047878265
-0.0071721375,-0.053689957
-0.0045491755,-0.057609558
-0.0015697777,-0.061878204
-0.0031065643,-0.067455292
0.0011510551,-0.073757172
0.00054684281,-0.078744888
-0.0033071935,-0.083726883
0.0092827976,-0.088464737
-9.66E-05,-0.094179153
-0.002078265,-0.098812103
-0.0041979253,-0.10354805
0.0057741106,-0.10734367
-0.0065110028,-0.11400795
0.00023427606,-0.11839294
-0.0015840232,-0.12416267
0.0081392825,-0.12862396
-0.0033912361,-0.13444519
9.57E-05,-0.13950157
0.0038065016,-0.14460754
-0.0016326606,-0.14900208
-0.0017367303,-0.15566635
0.0091967285,-0.15964127
-0.0050700605,-0.1638546
0.004368335,-0.17081833
-0.0067825019,-0.17541885
0.0046674311,-0.17978477
-0.0054076016,-0.18549347
0.0062476099,-0.19023514
-0.0031056702,-0.19607353
0.0019950569,-0.20180893
0.0039000809,-0.20620346
0.0077188313,-0.21157455
-0.0069946349,-0.21655655
-0.0030049384,-0.22079086
